citekey,title,year,doi,priority,file_status,pdf_path,sha256,zotero_key
Fu2009LocalVoronoi,Local Voronoi Decomposition for Multi-Agent Task Allocation,2009,10.1109/ROBOT.2009.5152829,P2,present,literature/pdfs/Fu2009LocalVoronoi.pdf,54dd0ba251a6ef158469fe6b3b230ec6401e02d0ad28aa3cd4ef25fa47c9bdc2,9MLV6D9H
Mahboubi2013StaticMobile,Distributed Coverage Optimization in a Network of Static and Mobile Sensors,2013,10.1109/ACC.2013.6580919,P3,present,literature/pdfs/Mahboubi2013StaticMobile.pdf,19286d2b8be96f90caad2b3811e3074dad32ce1d74229f9640d4f9492ae80d57,HRI6TJER
Wang2007Bidding,Bidding Protocols for Deploying Mobile Sensors,2007,10.1109/TMC.2007.1022,P3,present,literature/pdfs/Wang2007Bidding.pdf,e5e4b17227aefb8877763dbcd8b0071685a0312b16f2fd992efaf1f3e7f056d6,5PIVA24Z
Du2003ConstrainedCVT,Constrained Centroidal Voronoi Tessellations for Surfaces,2003,10.1137/S1064827501391576,P2,present,literature/pdfs/Du2003ConstrainedCVT.pdf,3c1848584cf38803bcf5f87053148ce7393833010dca2c0f24bec8cf7e218c96,8K3JTQWS
KimKim2025OpenFields,Coordinated Informative Path Planning for Multi-Robot Search in Open Fields,2025,10.1007/s10846-025-02270-z,P2,present,literature/pdfs/KimKim2025OpenFields.pdf,6dc411a601c3e1d691df5e4dce3c029b6716f7cffa4b61604a7456df3066bc27,SNKLQ9PJ
Heintzman2021Anticipatory,Anticipatory Planning and Dynamic Lost Person Models for Human-Robot Search and Rescue,2021,10.1109/ICRA48506.2021.9562070,P1,present,literature/pdfs/Heintzman2021Anticipatory.pdf,c8b453bce9f084a40abf0de6655333173f52332cea0a7aba5885334f47071779,39QUGML8
Cangan2020Anticipatory,Anticipatory Human-Robot Path Planning for Search and Rescue,2020,10.48550/arXiv.2009.03976,P2,missing,,,HL2WJ4M4
Xie2011Intention,Intention-Based Coordination and Interface Design for Human-Robot Cooperative Search,2011,10.1109/IROS.2011.6094688,P1,present,literature/pdfs/Xie2011Intention.pdf,a96e68582d1925304c6f93ca039aebb5542510a5a91f1d13681e450ca501a8f3,M4IUSH6W
KrzysiakButail2022Information,Information-Based Control of Robots in Search-and-Rescue Missions With Human Prior Knowledge,2022,10.1109/THMS.2021.3113642,P1,present,literature/pdfs/KrzysiakButail2022Information.pdf,a150d1eabd94566d7b9a3ed31d1175ecb585cdf1913905458ac6142dde92bf7b,XZVEWN2F
KrzysiakButail2025Movement,Human Prior Knowledge Estimation from Movement Cues for Information-Based Control of Mobile Robots during Search,2025,10.1145/3706065,P1,present,literature/pdfs/KrzysiakButail2025Movement.pdf,77b94a6fb064e8c03cdc4b413b66dd6a8bd1452c655b0cd4410af7e8ef246a16,HFDC5PFH
Ishii2023Enhancing,Enhancing Human-Robot Collaborative Object Search through Human Behavior Observation and Dialog,2023,10.1109/ICCVW60793.2023.00199,P1,present,literature/pdfs/Ishii2023Enhancing.pdf,c86fc333d347d6ae9eddc21f236cc4f188ce039621cdb0622a657e79b398a359,CMDCWET2
LimMiuraHayashi2025SpaceSharing,Enhancing Human-Robot Collaborative Search Through Efficient Space Sharing with On-Demand Bidirectional Interaction,2025,10.1007/978-3-031-92591-7_2,P1,present,literature/pdfs/LimMiuraHayashi2025SpaceSharing.pdf,84055dd2a052dfecf5aaac44e787261cd168c31606f999007b13596e49f7fd58,CYMHXCCX
BestFitch2015Bayesian,Bayesian Intention Inference for Trajectory Prediction with an Unknown Goal Destination,2015,10.1109/IROS.2015.7354203,P2,present,literature/pdfs/BestFitch2015Bayesian.pdf,66af676b158f56543d30e0f1f9656074013ecc7617746233ccb1d3491acfe318,V9HUPGMI
Swamy2020Scaled,Scaled Autonomy: Enabling Human Operators to Control Robot Fleets,2020,10.1109/ICRA40945.2020.9196792,P2,present,literature/pdfs/Swamy2020Scaled.pdf,951fe3bb902193e0b746ab78cfd70abf2d777d7c095aaeb4acd1c38ae2ca4dd4,VZCRFQUY
Lippi2023Task,A Task Allocation Framework for Human Multi-Robot Collaborative Settings,2023,10.1109/ICRA48891.2023.10161458,P2,missing,,,KIVAX5IQ
TalebpourMartinoli2018ICRA,Multi-Robot Coordination in Dynamic Environments Shared with Humans,2018,10.1109/ICRA.2018.8460978,P3,present,literature/pdfs/TalebpourMartinoli2018ICRA.pdf,f3941dcae04b550c6c2ffd4deb9aed1cd0ee086c912a5adf8ffe19a11d387cf3,JRE3PI9K
